model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp
logistic-regression_n_grams_remove_duplicates_remove_stop_words_lowercase_remove_dots_lemmatize,0.4664539470413647,0.8796352583586625,0.06024477717216764,0.42195121951219516,17.3,15.9,272.1,23.7,2024-05-13 19:28:23.289288

logistic-regression_n_grams_lemmatize_remove_dots_lowercase_remove_duplicates_remove_stop_words,0.5038817819808152,0.8860182370820668,0.06462658040682577,0.45609756097560983,18.7,15.2,272.8,22.3,2024-05-13 19:28:35.149935

logistic-regression_n_grams_lowercase_remove_duplicates_remove_stop_words_lemmatize_remove_dots,0.38752407350987345,0.8683890577507599,0.04837796300867499,0.3365853658536585,13.8,16.1,271.9,27.2,2024-05-13 19:28:39.999782

logistic-regression_n_grams_lowercase_remove_stop_words_lemmatize_remove_duplicates_remove_dots,0.38731953235436845,0.8793313069908816,0.04356568668076018,0.3073170731707318,12.6,11.3,276.7,28.4,2024-05-13 19:28:39.866357

logistic-regression_n_grams_lowercase_remove_stop_words_remove_dots_remove_duplicates_lemmatize,0.3551837818265642,0.8571428571428571,0.046304830615603185,0.31463414634146336,12.9,18.9,269.1,28.1,2024-05-13 19:28:42.122491

logistic-regression_n_grams_remove_duplicates_remove_dots_lemmatize_lowercase_remove_stop_words,0.43325464400725877,0.8805471124620059,0.05342019487823988,0.3756097560975609,15.4,13.7,274.3,25.6,2024-05-13 19:28:43.583758

logistic-regression_n_grams_lowercase_remove_duplicates_remove_dots_remove_stop_words_lemmatize,0.4485026473646057,0.8841945288753801,0.05329356939372919,0.3780487804878049,15.5,12.6,275.4,25.5,2024-05-13 19:28:53.575663

logistic-regression_n_grams_lemmatize_remove_stop_words_lowercase_remove_dots_remove_duplicates,0.4617324875530725,0.878419452887538,0.05930390061657892,0.41707317073170735,17.1,16.1,271.9,23.9,2024-05-13 19:28:53.984553

logistic-regression_n_grams_lowercase_lemmatize_remove_duplicates_remove_stop_words_remove_dots,0.4909664472164472,0.8844984802431609,0.06326921144518416,0.4487804878048781,18.4,15.4,272.6,22.6,2024-05-13 19:28:55.380362

logistic-regression_n_grams_lowercase_lemmatize_remove_dots_remove_stop_words_remove_duplicates,0.40243242720951794,0.8756838905775076,0.04821153253031012,0.3390243902439024,13.9,13.8,274.2,27.1,2024-05-13 19:28:58.230324

logistic-regression_n_grams_lemmatize_remove_dots_remove_duplicates_remove_stop_words_lowercase,0.4595717328136709,0.8854103343465045,0.05493293944274704,0.39024390243902435,16.0,12.7,275.3,25.0,2024-05-13 19:29:08.094535

logistic-regression_n_grams_lowercase_lemmatize_remove_duplicates_remove_dots_remove_stop_words,0.48297094690422177,0.8851063829787235,0.05968607188920031,0.42195121951219516,17.3,14.1,273.9,23.7,2024-05-13 19:29:10.218658

logistic-regression_n_grams_lowercase_remove_duplicates_remove_dots_lemmatize_remove_stop_words,0.4611490872245921,0.8808510638297872,0.05746982891504014,0.4048780487804877,16.6,14.8,273.2,24.4,2024-05-13 19:29:15.212548

logistic-regression_n_grams_remove_duplicates_lowercase_remove_stop_words_lemmatize_remove_dots,0.4377098765558995,0.8851063829787235,0.05084736246104732,0.36097560975609755,14.8,11.6,276.4,26.2,2024-05-13 19:29:26.002219

logistic-regression_n_grams_remove_duplicates_lemmatize_lowercase_remove_dots_remove_stop_words,0.4500015534186577,0.8863221884498479,0.052158305903265846,0.37073170731707317,15.2,11.6,276.4,25.8,2024-05-13 19:29:27.573954

logistic-regression_n_grams_remove_duplicates_lemmatize_remove_dots_lowercase_remove_stop_words,0.4811477210158637,0.8951367781155015,0.05433616324589761,0.39024390243902435,16.0,9.5,278.5,25.0,2024-05-13 19:29:34.632063

logistic-regression_n_grams_remove_dots_lowercase_remove_duplicates_lemmatize_remove_stop_words,0.4388501876715768,0.8875379939209725,0.04931245537125885,0.35121951219512193,14.4,10.4,277.6,26.6,2024-05-13 19:29:34.662549

logistic-regression_n_grams_lemmatize_lowercase_remove_stop_words_remove_duplicates_remove_dots,0.4556208039810459,0.8863221884498481,0.05388820714877122,0.3829268292682927,15.7,12.1,275.9,25.3,2024-05-13 19:29:48.808589

logistic-regression_n_grams_remove_stop_words_remove_dots_lemmatize_lowercase_remove_duplicates,0.4574820046202265,0.8823708206686929,0.055916949351231524,0.39512195121951216,16.2,13.9,274.1,24.8,2024-05-13 19:30:02.231881

