model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp
logistic-regression_remove_stop_words_remove_dots_lowercase_remove_duplicates_lemmatize,0.10105052409155504,0.8559270516717327,0.011838466716491924,0.07804878048780489,3.2,9.6,278.4,37.8,2024-05-13 16:19:36.563137

logistic-regression_lowercase_remove_dots_remove_duplicates_lemmatize_remove_stop_words,0.083911038616921,0.8674772036474165,0.010518449049120648,0.07073170731707319,2.9,5.5,282.5,38.1,2024-05-13 16:19:39.578570

logistic-regression_lowercase_remove_duplicates_lemmatize_remove_dots,0.07743249836635287,0.8738601823708206,0.007026588552577003,0.04878048780487805,2.0,2.5,285.5,39.0,2024-05-13 16:19:39.762907

logistic-regression_remove_stop_words_lemmatize_remove_dots_remove_duplicates,0.09547529229002052,0.8556231003039514,0.014363483327735285,0.09268292682926829,3.8,10.3,277.7,37.2,2024-05-13 16:19:39.918377

logistic-regression_remove_duplicates_remove_dots_remove_stop_words,0.06366874525556195,0.8571428571428571,0.011063941004180976,0.06585365853658537,2.7,8.7,279.3,38.3,2024-05-13 16:19:40.219313

logistic-regression_remove_stop_words_lemmatize_remove_dots_lowercase,0.07905419021251311,0.8693009118541033,0.007408558810965827,0.051219512195121955,2.1,4.1,283.9,38.9,2024-05-13 16:19:41.203308

logistic-regression_remove_stop_words_remove_duplicates_remove_dots_lemmatize,0.042998942917547564,0.8711246200607903,0.0034930523057567888,0.024390243902439025,1.0,2.4,285.6,40.0,2024-05-13 16:19:41.704003

logistic-regression_remove_dots_remove_stop_words_lowercase_remove_duplicates,0.10747785171654947,0.8513677811550153,0.0138182337344299,0.09024390243902439,3.7,11.6,276.4,37.3,2024-05-13 16:19:41.749977

logistic-regression_lemmatize_lowercase_remove_duplicates_remove_dots_remove_stop_words,0.09820056280687607,0.85258358662614,0.010205106632359514,0.06829268292682927,2.8,10.3,277.7,38.2,2024-05-13 16:19:42.560817

logistic-regression_remove_duplicates_remove_dots_lemmatize_lowercase,0.06510135804627849,0.8531914893617021,0.012251334580883313,0.07073170731707318,2.9,10.2,277.8,38.1,2024-05-13 16:19:43.004003

logistic-regression_remove_dots_lemmatize_lowercase_remove_stop_words,0.11360537130475379,0.8629179331306991,0.012819923145005751,0.08780487804878048,3.6,7.7,280.3,37.4,2024-05-13 16:19:44.829022

logistic-regression_lowercase_remove_duplicates_remove_stop_words_remove_dots,0.08563593110466092,0.8702127659574469,0.007365665463090419,0.051219512195121955,2.1,3.8,284.2,38.9,2024-05-13 16:19:45.424645

logistic-regression_remove_dots_lowercase_lemmatize_remove_duplicates,0.06859576121609483,0.8696048632218846,0.007095570181542202,0.04878048780487805,2.0,3.9,284.1,39.0,2024-05-13 16:19:45.652371

logistic-regression_remove_stop_words_remove_dots_lemmatize,0.10749632617743476,0.8337386018237082,0.01801811777856379,0.1121951219512195,4.6,18.3,269.7,36.4,2024-05-13 16:19:46.051564

logistic-regression_remove_stop_words_remove_dots,0.09652623568537827,0.856838905775076,0.012641577291243915,0.08292682926829269,3.4,9.5,278.5,37.6,2024-05-13 16:19:45.933666

logistic-regression_remove_stop_words_remove_dots_lemmatize_lowercase,0.08591489065900601,0.8474164133738601,0.00956613057011903,0.06341463414634148,2.6,11.8,276.2,38.4,2024-05-13 16:19:46.941920

logistic-regression_remove_stop_words_lemmatize_remove_dots_lowercase_remove_duplicates,0.067669308526086,0.8629179331306991,0.007728781277822126,0.05121951219512196,2.1,6.2,281.8,38.9,2024-05-13 16:19:47.460936

logistic-regression_remove_stop_words_lemmatize_remove_dots,0.07050121495907273,0.858662613981763,0.00714846413865577,0.04878048780487805,2.0,7.5,280.5,39.0,2024-05-13 16:19:47.434319

logistic-regression_remove_dots_remove_duplicates_lowercase_lemmatize,0.10044807016631832,0.8674772036474165,0.010759982172140022,0.07317073170731707,3.0,5.6,282.4,38.0,2024-05-13 16:19:48.522752

logistic-regression_remove_stop_words_remove_dots_remove_duplicates_lowercase_lemmatize,0.06259816925769342,0.8659574468085106,0.005650895196573909,0.03902439024390243,1.6,4.7,283.3,39.4,2024-05-13 16:19:47.901224

logistic-regression_remove_stop_words_lowercase_remove_dots_lemmatize,0.06440993788819875,0.8674772036474165,0.005640866180517218,0.03902439024390244,1.6,4.2,283.8,39.4,2024-05-13 16:19:48.875328

logistic-regression_remove_duplicates_remove_stop_words_lowercase,0.06858724517474973,0.8717325227963526,0.006306284687953222,0.04390243902439025,1.8,3.0,285.0,39.2,2024-05-13 16:19:50.211142

logistic-regression_remove_stop_words_lemmatize_lowercase_remove_duplicates,0.11436662566536009,0.8422492401215805,0.017618614262846076,0.10731707317073172,4.4,15.3,272.7,36.6,2024-05-13 16:19:50.519632

logistic-regression_lemmatize_remove_dots_lowercase_remove_stop_words_remove_duplicates,0.09682175598955346,0.8641337386018236,0.009619198918097274,0.06585365853658537,2.7,6.4,281.6,38.3,2024-05-13 16:19:50.743083

logistic-regression_remove_duplicates_remove_stop_words_lowercase_remove_dots,0.08803281683326922,0.8583586626139817,0.011349251320136308,0.07560975609756097,3.1,8.7,279.3,37.9,2024-05-13 16:19:51.294659

logistic-regression_lemmatize_remove_dots_remove_stop_words_remove_duplicates_lowercase,0.06767290785685873,0.8723404255319149,0.00598765032616117,0.041463414634146344,1.7,2.7,285.3,39.3,2024-05-13 16:19:52.293145

logistic-regression_lowercase_remove_dots_remove_stop_words_remove_duplicates,0.08051871817909555,0.8674772036474165,0.008549677342834941,0.05853658536585367,2.4,5.0,283.0,38.6,2024-05-13 16:19:52.810124

logistic-regression_lemmatize_remove_duplicates_lowercase_remove_dots_remove_stop_words,0.05705054155188925,0.8574468085106384,0.008428967353831716,0.05365853658536586,2.2,8.1,279.9,38.8,2024-05-13 16:19:52.461266

logistic-regression_lowercase_remove_dots_remove_stop_words_lemmatize,0.08664114621128634,0.8662613981762917,0.008126281918983767,0.056097560975609764,2.3,5.3,282.7,38.7,2024-05-13 16:19:52.843195

