model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp
naive-bayes_add-k-0.4_remove_stop_words,0.33962264150943394,0.7872340425531915,0.0694980694980695,0.43902439024390244,18.0,47.0,241.0,23.0,2024-05-13 16:14:43.707242

naive-bayes_add-k-0.4_remove_dots_remove_duplicates,0.35294117647058826,0.7325227963525835,0.0995850622406639,0.5853658536585366,24.0,71.0,217.0,17.0,2024-05-13 16:14:43.797520

naive-bayes_add-k-0.4_remove_dots_lemmatize,0.3655913978494624,0.8206686930091185,0.06296296296296296,0.4146341463414634,17.0,35.0,253.0,24.0,2024-05-13 16:14:43.824126

naive-bayes_add-k-0.6_remove_stop_words,0.31666666666666665,0.7507598784194529,0.07692307692307693,0.4634146341463415,19.0,60.0,228.0,22.0,2024-05-13 16:14:43.941526

naive-bayes_add-k-0.5_lowercase_remove_dots,0.35714285714285715,0.7811550151975684,0.07782101167315175,0.4878048780487805,20.0,51.0,237.0,21.0,2024-05-13 16:14:44.063239

naive-bayes_add-k-0.5_remove_duplicates_remove_dots,0.3424657534246575,0.7082066869300911,0.1072961373390558,0.6097560975609756,25.0,80.0,208.0,16.0,2024-05-13 16:14:44.165567

naive-bayes_add-k-0.9_remove_dots_lemmatize,0.35294117647058826,0.7325227963525835,0.0995850622406639,0.5853658536585366,24.0,71.0,217.0,17.0,2024-05-13 16:14:44.099157

naive-bayes_add-k-0.7000000000000001_remove_duplicates_remove_stop_words,0.32926829268292684,0.6656534954407295,0.1232876712328767,0.6585365853658537,27.0,96.0,192.0,14.0,2024-05-13 16:14:44.573317

naive-bayes_add-k-0.6_remove_stop_words_remove_dots,0.3230769230769231,0.7325227963525835,0.08713692946058091,0.5121951219512195,21.0,68.0,220.0,20.0,2024-05-13 16:14:44.819665

naive-bayes_add-k-0.9_remove_stop_words_remove_dots,0.33112582781456956,0.6930091185410334,0.10964912280701754,0.6097560975609756,25.0,85.0,203.0,16.0,2024-05-13 16:14:45.009984

naive-bayes_add-k-0.9_lowercase_remove_duplicates,0.3050847457627119,0.6261398176291794,0.13106796116504854,0.6585365853658537,27.0,109.0,179.0,14.0,2024-05-13 16:14:45.085305

naive-bayes_add-k-0.5_remove_duplicates_lowercase,0.32432432432432434,0.6960486322188449,0.10480349344978165,0.5853658536585366,24.0,83.0,205.0,17.0,2024-05-13 16:14:45.024202

naive-bayes_add-k-0.4_lowercase,0.38,0.8115501519756839,0.07116104868913857,0.4634146341463415,19.0,40.0,248.0,22.0,2024-05-13 16:14:45.421254

naive-bayes_add-k-0.1_remove_stop_words_remove_duplicates,0.32989690721649484,0.8024316109422492,0.06060606060606061,0.3902439024390244,16.0,40.0,248.0,25.0,2024-05-13 16:14:45.540220

naive-bayes_add-k-0.7000000000000001_lowercase_lemmatize,0.3853211009174312,0.7963525835866262,0.08015267175572519,0.5121951219512195,21.0,47.0,241.0,20.0,2024-05-13 16:14:45.535684

naive-bayes_add-k-0.1_remove_stop_words_lemmatize,0.2571428571428571,0.8419452887537994,0.032490974729241874,0.21951219512195122,9.0,20.0,268.0,32.0,2024-05-13 16:14:45.576720

naive-bayes_add-k-0.8_lowercase_lemmatize,0.3826086956521739,0.78419452887538,0.08527131782945736,0.5365853658536586,22.0,52.0,236.0,19.0,2024-05-13 16:14:45.578796

naive-bayes_add-k-0.4_remove_duplicates,0.34965034965034963,0.7173252279635258,0.1059322033898305,0.6097560975609756,25.0,77.0,211.0,16.0,2024-05-13 16:14:45.757381

naive-bayes_add-k-0.2_remove_stop_words,0.27956989247311825,0.7963525835866262,0.04961832061068702,0.3170731707317073,13.0,39.0,249.0,28.0,2024-05-13 16:14:45.693617

naive-bayes_add-k-0.2_remove_dots_remove_stop_words_remove_duplicates,0.2823529411764706,0.8145896656534954,0.04477611940298507,0.2926829268292683,12.0,32.0,256.0,29.0,2024-05-13 16:14:45.948107

naive-bayes_add-k-0.1_remove_dots_remove_stop_words_remove_duplicates,0.2716049382716049,0.8206686930091185,0.040740740740740744,0.2682926829268293,11.0,29.0,259.0,30.0,2024-05-13 16:14:45.952543

naive-bayes_add-k-0.8_remove_duplicates,0.3181818181818182,0.6352583586626139,0.1339712918660287,0.6829268292682927,28.0,107.0,181.0,13.0,2024-05-13 16:14:46.029888

naive-bayes_add-k-0.9_,0.3188405797101449,0.7142857142857143,0.09361702127659574,0.5365853658536586,22.0,75.0,213.0,19.0,2024-05-13 16:14:46.091319

naive-bayes_add-k-0.1_remove_dots_remove_stop_words,0.3111111111111111,0.8115501519756839,0.052434456928838954,0.34146341463414637,14.0,35.0,253.0,27.0,2024-05-13 16:14:46.493289

naive-bayes_add-k-0.30000000000000004_remove_dots_remove_stop_words,0.34285714285714286,0.790273556231003,0.06923076923076923,0.43902439024390244,18.0,46.0,242.0,23.0,2024-05-13 16:14:46.765817

naive-bayes_add-k-0.8_remove_dots_remove_duplicates,0.32558139534883723,0.6474164133738601,0.13145539906103287,0.6829268292682927,28.0,103.0,185.0,13.0,2024-05-13 16:14:46.870119

naive-bayes_add-k-0.30000000000000004_lemmatize,0.3037974683544304,0.8328267477203647,0.043795620437956206,0.2926829268292683,12.0,26.0,262.0,29.0,2024-05-13 16:14:46.840625

naive-bayes_add-k-0.9_lemmatize_remove_duplicates,0.3391812865497076,0.6565349544072948,0.13425925925925927,0.7073170731707317,29.0,101.0,187.0,12.0,2024-05-13 16:14:46.996621

naive-bayes_add-k-0.5_remove_dots,0.3620689655172414,0.7750759878419453,0.08235294117647059,0.5121951219512195,21.0,54.0,234.0,20.0,2024-05-13 16:14:46.972205

naive-bayes_add-k-0.4_lemmatize,0.30952380952380953,0.8237082066869301,0.04797047970479705,0.3170731707317073,13.0,30.0,258.0,28.0,2024-05-13 16:14:47.212487

naive-bayes_add-k-0.4_lowercase_remove_stop_words,0.3958333333333333,0.8237082066869301,0.07011070110701106,0.4634146341463415,19.0,36.0,252.0,22.0,2024-05-13 16:14:47.251053

naive-bayes_add-k-0.4_remove_duplicates_remove_dots,0.35294117647058826,0.7325227963525835,0.0995850622406639,0.5853658536585366,24.0,71.0,217.0,17.0,2024-05-13 16:14:47.264438

naive-bayes_add-k-0.7000000000000001_remove_duplicates_remove_dots,0.32727272727272727,0.662613981762918,0.12385321100917432,0.6585365853658537,27.0,97.0,191.0,14.0,2024-05-13 16:14:47.275254

naive-bayes_add-k-0.30000000000000004_remove_duplicates_remove_stop_words,0.352,0.7537993920972644,0.08870967741935484,0.5365853658536586,22.0,62.0,226.0,19.0,2024-05-13 16:14:47.435362

naive-bayes_add-k-0.30000000000000004_remove_stop_words_remove_dots,0.34285714285714286,0.790273556231003,0.06923076923076923,0.43902439024390244,18.0,46.0,242.0,23.0,2024-05-13 16:14:47.423486

naive-bayes_add-k-0.2_remove_duplicates_remove_stop_words,0.35398230088495575,0.7781155015197568,0.078125,0.4878048780487805,20.0,52.0,236.0,21.0,2024-05-13 16:14:47.375383

naive-bayes_add-k-0.2_remove_stop_words_remove_dots,0.3125,0.7993920972644377,0.057034220532319393,0.36585365853658536,15.0,40.0,248.0,26.0,2024-05-13 16:14:47.406668

naive-bayes_add-k-0.4_remove_duplicates_remove_stop_words,0.3382352941176471,0.7264437689969605,0.09623430962343096,0.5609756097560976,23.0,72.0,216.0,18.0,2024-05-13 16:14:47.471893

naive-bayes_add-k-0.9_remove_duplicates_remove_stop_words,0.32,0.6382978723404256,0.13333333333333333,0.6829268292682927,28.0,106.0,182.0,13.0,2024-05-13 16:14:47.788829

naive-bayes_add-k-0.1_remove_duplicates_lowercase,0.35051546391752575,0.8085106382978723,0.06390977443609022,0.4146341463414634,17.0,39.0,249.0,24.0,2024-05-13 16:14:47.932468

naive-bayes_add-k-0.2_remove_dots_lowercase,0.38202247191011235,0.8328267477203647,0.06204379562043796,0.4146341463414634,17.0,31.0,257.0,24.0,2024-05-13 16:14:48.027763

naive-bayes_add-k-0.30000000000000004_remove_duplicates_lowercase,0.3225806451612903,0.7446808510638298,0.08163265306122448,0.4878048780487805,20.0,63.0,225.0,21.0,2024-05-13 16:14:47.939235

naive-bayes_add-k-0.1_remove_dots_remove_duplicates_remove_stop_words,0.2716049382716049,0.8206686930091185,0.040740740740740744,0.2682926829268293,11.0,29.0,259.0,30.0,2024-05-13 16:14:48.261759

naive-bayes_add-k-0.30000000000000004_lowercase,0.3956043956043956,0.8328267477203647,0.06569343065693431,0.43902439024390244,18.0,32.0,256.0,23.0,2024-05-13 16:14:48.268738

