model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp

svm_remove_dots_remove_duplicates_remove_stop_words,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 22:16:49.525819

svm_remove_duplicates_remove_stop_words,0.5396825396825397,0.9118541033434651,0.7727272727272727,0.4146341463414634,17.0,5.0,283.0,24.0,2024-05-13 22:16:49.543723

svm_remove_dots_remove_stop_words_remove_duplicates,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 22:49:27.956053

svm_lemmatize_remove_stop_words_remove_duplicates,0.5483870967741935,0.9148936170212766,0.8095238095238095,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 22:49:29.979181

svm_remove_duplicates_remove_stop_words_lowercase,0.5396825396825397,0.9118541033434651,0.7727272727272727,0.4146341463414634,17.0,5.0,283.0,24.0,2024-05-13 22:49:31.449655

svm_remove_stop_words_remove_duplicates_lemmatize,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-13 23:05:55.556638

svm_remove_duplicates_lemmatize_remove_stop_words,0.5245901639344263,0.9118541033434651,0.8,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 23:22:43.208166

svm_remove_stop_words_lowercase_remove_duplicates,0.5245901639344263,0.9118541033434651,0.8,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 23:22:43.741836

svm_remove_dots_remove_stop_words_remove_duplicates_lowercase,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 23:40:33.256849

svm_remove_stop_words_remove_duplicates_remove_dots,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 23:40:35.088719

svm_remove_stop_words_remove_dots_lemmatize_remove_duplicates,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-13 23:56:29.097803

svm_remove_stop_words_remove_dots_remove_duplicates,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 23:56:29.688495

svm_remove_stop_words_remove_dots_remove_duplicates_lemmatize,0.5573770491803278,0.9179331306990881,0.85,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 23:56:32.253079

svm_remove_stop_words_lemmatize_remove_duplicates,0.5423728813559322,0.9179331306990881,0.8888888888888888,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 23:56:33.220405

svm_lemmatize_remove_duplicates_remove_stop_words_remove_dots,0.5483870967741935,0.9148936170212766,0.8095238095238095,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 23:56:33.041022

svm_remove_stop_words_lemmatize_remove_duplicates_lowercase,0.5423728813559322,0.9179331306990881,0.8888888888888888,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 23:56:33.024934

svm_remove_stop_words_lemmatize_lowercase_remove_duplicates,0.5084745762711864,0.9118541033434651,0.8333333333333334,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-13 23:58:54.177203

svm_remove_dots_remove_stop_words_lowercase_remove_duplicates,0.5084745762711864,0.9118541033434651,0.8333333333333334,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-13 23:58:57.028457

svm_remove_stop_words_remove_duplicates_lowercase,0.5396825396825397,0.9118541033434651,0.7727272727272727,0.4146341463414634,17.0,5.0,283.0,24.0,2024-05-13 23:58:56.990255

svm_remove_stop_words_lemmatize_remove_duplicates_remove_dots,0.5423728813559322,0.9179331306990881,0.8888888888888888,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 23:59:00.444603

svm_lowercase_remove_stop_words_lemmatize_remove_duplicates,0.5573770491803278,0.9179331306990881,0.85,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-14 00:14:43.098470

svm_remove_duplicates_lemmatize,0.4827586206896552,0.9088145896656535,0.8235294117647058,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-14 00:14:43.437426

svm_remove_duplicates,0.4827586206896552,0.9088145896656535,0.8235294117647058,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-14 00:14:43.507385

svm_lowercase_remove_dots_remove_stop_words_remove_duplicates,0.5084745762711864,0.9118541033434651,0.8333333333333334,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-14 00:14:44.031420

svm_remove_dots_remove_duplicates_remove_stop_words_lemmatize,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-14 00:14:44.104173

svm_remove_dots_lowercase_remove_duplicates,0.5084745762711864,0.9118541033434651,0.8333333333333334,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-14 00:14:44.482341

svm_remove_dots_remove_duplicates,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-14 00:14:44.636825

svm_remove_duplicates_remove_dots,0.5084745762711864,0.9118541033434651,0.8333333333333334,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-14 00:30:01.933194

svm_lowercase_remove_stop_words_remove_duplicates_lemmatize,0.5573770491803278,0.9179331306990881,0.85,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-14 00:30:02.638528

svm_lemmatize_remove_duplicates,0.5,0.9148936170212766,0.9333333333333333,0.34146341463414637,14.0,1.0,287.0,27.0,2024-05-14 00:30:03.311968

svm_lemmatize_remove_duplicates_lowercase_remove_stop_words_remove_dots,0.5483870967741935,0.9148936170212766,0.8095238095238095,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-14 00:30:03.575294

svm_remove_dots_remove_duplicates_lemmatize,0.49122807017543857,0.9118541033434651,0.875,0.34146341463414637,14.0,2.0,286.0,27.0,2024-05-14 00:30:03.708949

svm_lowercase_remove_duplicates_lemmatize_remove_stop_words,0.5,0.9088145896656535,0.7894736842105263,0.36585365853658536,15.0,4.0,284.0,26.0,2024-05-14 00:30:03.603703

svm_remove_duplicates_remove_dots_remove_stop_words_lemmatize_lowercase,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-14 00:30:03.719308

svm_remove_dots_lemmatize_lowercase_remove_duplicates,0.5172413793103449,0.9148936170212766,0.8823529411764706,0.36585365853658536,15.0,2.0,286.0,26.0,2024-05-14 00:30:03.668508

svm_remove_dots_lowercase_remove_stop_words_remove_duplicates_lemmatize,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-14 00:30:05.561134

svm_remove_duplicates_remove_stop_words_remove_dots_lemmatize,0.5573770491803278,0.9179331306990881,0.85,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-14 00:30:05.453075

svm_remove_duplicates_lowercase,0.4827586206896552,0.9088145896656535,0.8235294117647058,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-14 00:30:05.789206

svm_remove_dots_remove_stop_words_lemmatize_lowercase_remove_duplicates,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-14 00:45:28.673462

svm_lemmatize_remove_stop_words_lowercase_remove_duplicates_remove_dots,0.5483870967741935,0.9148936170212766,0.8095238095238095,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-14 00:45:28.632258

svm_remove_dots_remove_stop_words_remove_duplicates_lemmatize,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-14 00:45:28.829549

svm_remove_stop_words_remove_duplicates_lowercase_remove_dots,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-14 00:45:29.222470

svm_lowercase_lemmatize_remove_duplicates_remove_dots_remove_stop_words,0.4918032786885246,0.9057750759878419,0.75,0.36585365853658536,15.0,5.0,283.0,26.0,2024-05-14 00:45:29.208913

svm_lemmatize_remove_duplicates_remove_stop_words_lowercase_remove_dots,0.5483870967741935,0.9148936170212766,0.8095238095238095,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-14 00:45:30.102435

svm_remove_stop_words_remove_duplicates_remove_dots_lowercase,0.5333333333333333,0.9148936170212766,0.8421052631578947,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-14 00:45:30.141286

svm_remove_duplicates_remove_stop_words_lemmatize,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-14 00:45:29.934990

svm_lowercase_remove_dots_remove_duplicates,0.5084745762711864,0.9118541033434651,0.8333333333333334,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-14 00:45:30.615367

svm_lemmatize_lowercase_remove_stop_words_remove_dots_remove_duplicates,0.5483870967741935,0.9148936170212766,0.8095238095238095,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-14 00:45:31.223982

svm_remove_stop_words_remove_duplicates_lemmatize_lowercase_remove_dots,0.5666666666666667,0.9209726443768997,0.8947368421052632,0.4146341463414634,17.0,2.0,286.0,24.0,2024-05-14 00:45:31.542703

svm_remove_duplicates_remove_dots_lemmatize_lowercase_remove_stop_words,0.5483870967741935,0.9148936170212766,0.8095238095238095,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-14 00:45:32.147525

